name,countryid,_id
Верхоянск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0000
Славск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0001
Мензелинск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0002
Семилуки,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0003
Черняховск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0004
Татарск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0005
Кяхта,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0006
Кашира,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0007
Красноуфимск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0008
Дюртюли,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0009
Нижняя Салда,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0010
Лобня,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0011
Кудымкар,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0012
Кизляр,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0013
Тайшет,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0014
Судак,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0015
Порхов,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0016
Бугуруслан,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0017
Шадринск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0018
Белозерск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0019
Краснокамск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0020
Алексеевка,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0021
Баймак,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0022
Валуйки,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0023
Ардон,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0024
Нерюнгри,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0025
Калач-на-Дону,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0026
Шагонар,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0027
Дедовск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0028
Сатка,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0029
Абдулино,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0030
Мураши,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0031
Канаш,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0032
Сретенск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0033
Обнинск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0034
Шилка,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0035
Нижняя Тура,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0036
Городище,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0037
Белый,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0038
Сасово,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0039
Болхов,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0040
Калтан,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0041
Калининград,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0042
Коркино,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0043
Ивдель,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0044
Осинники,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0045
Апшеронск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0046
Инсар,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0047
Североуральск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0048
Истра,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0049
Кирсанов,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0050
Кировск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0051
Белогорск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0052
Колпашево,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0053
Питкяранта,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0054
Усть-Лабинск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0055
Тамбов,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0056
Партизанск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0057
Евпатория,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0058
Сызрань,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0059
Железногорск-Илимский,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0060
Кызыл,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0061
Камень-на-Оби,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0062
Сольцы,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0063
Суздаль,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0064
Михайловск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0065
Тында,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0066
Ефремов,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0067
Демидов,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0068
Красновишерск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0069
Углич,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0070
Дятьково,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0071
Щекино,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0072
Очер,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0073
Асбест,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0074
Южно-Сахалинск,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0075
Старый Оскол,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0076
Петровск-Забайкальский,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0077
Пенза,068eb6a7-fd1d-431c-aca3-78b2f8bab958,068eb6a7-fd1d-431c-aca3-78b2f8ba0078
